NPDESID_PFID,NPDES_ID,PERMITTING_STATE,AGENCY_TYPE_CODE,FACILITY_UIN,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,FACILITY_CITY,COUNTY_CODE,STATE_CODE,EPA_REGION_CODE,FACILITY_TYPE_CODE,FACILITY_LAT,FACILITY_LON,PERMIT_NAME,VERSION_NMBR,PERMIT_TYPE_CODE,EFFECTIVE_DATE,EXPIRATION_DATE,PERMIT_STATUS_CODE,FACILITY_TYPE_INDICATOR,MAJOR_MINOR_STATUS_FLAG,PERMIT_TRACKING,PT_START_DATE,DMR_TRACKING,DMR_NR_START_DATE,PERMIT_DESIGN_FLOW,PERMIT_AVG_FLOW,PERM_FEATURE_NMBR,PERM_FEATURE_TEXT,PF_LAT,PF_LON,PF_CHARACTER,PERM_FEATURE_TYPE_CODE,PF_STATE_WATERBODY_NAME,PF_STATE_AUTO_NAME,PF_REACH_ID,IN_ICIS,ECHO_DFR_LINK
CA0037681005,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,5,,37.78773,-122.49173,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0037681006,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,6,,37.78942,-122.48787,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0037681007,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,7,,37.78947,-122.487,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0037681CSD,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,CSD,CENTRAL MONITORING LOCATION FOR 7 SEPARATE OUTFALLS. Equivalent-to-ptimary-treated effluent,37.715278,-122.504444,TCS,EXO,PACIFIC OCEAN,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0079111002,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,2,Combined municipal and industrial wastewater and stormwater,38.519167,-121.523889,TCS,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111003,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,3,Combined Municipal and Industrial Wastewater and Stormwater (Storm Sump 104),38.523056,-121.523611,TCS,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111004,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,4,Combined Municipal and Industrial Wastewater and Stormwater (Sump 2/2A Gate #4),38.547778,-121.510278,CSO,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111005,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,5,Combined Municipal and Industrial Wastewater and Stormwater (Sump 2/2A Gate #5),38.5475,-121.510278,CSO,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111006,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,6,Combined municipal and industrial wastewater and stormwater,38.571667,-121.513333,TCS,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111007,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,7,Combined Municipal and Industrial Wastewater and Stormwater (Combined Sump 1A Bypass),38.571944,-121.513056,CSO,EXO,Sacramento River,Sacramento River,1.80202E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CA0079111SUM,CA0079111,CA,ST6,1.1001E+11,SACRAMENTO COMBINED WWCTS,1395 35TH AVE,CONTROL COMBINED WASTEWATER COLLECTION AND TREATME,SACRAMENTO,CA067,CA,9,MWD,38.521722,-121.506861,"Sacramento, City of",0,NPD,10/1/20,9/30/25,EFF,POTW,M,Y,10/1/20,Y,10/1/20,380,,SUM,"Sum of Annual Mass Emission of Mercury from Discharge Points 002, 003, and 006",,,TCS,SUM,,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110009542192
CT0100056033,CT0100056,CT,ST6,1.1004E+11,BRIDGEPORT WESTSIDE WPCA,205 BOSTWICK AVENUE,,BRIDGEPORT,CT001,CT,1,MWD,41.159167,-73.213333,BRIDGEPORT-WEST WPCA,0,NPD,7/1/19,6/30/24,ADC,POTW,M,Y,7/1/19,Y,7/1/19,30,,33,Huntington Road and Vernon Street,41.194101,-73.18674,CSO,EXO,Pequonnock River,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110039877194
CT0100056038,CT0100056,CT,ST6,1.1004E+11,BRIDGEPORT WESTSIDE WPCA,205 BOSTWICK AVENUE,,BRIDGEPORT,CT001,CT,1,MWD,41.159167,-73.213333,BRIDGEPORT-WEST WPCA,0,NPD,7/1/19,6/30/24,ADC,POTW,M,Y,7/1/19,Y,7/1/19,30,,38,Brewster Street and Seabright Avenue,41.154126,-73.220611,CSO,EXO,Black Rock Harbor,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110039877194
