"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"96","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.686461, 41.763938)
"97","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.686604, 41.764031)
"98","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.687232, 41.758032)
"99","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.693673, 41.762285)
"100","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.672901, 41.761733)
"101","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.670774, 41.729189)
"102","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.665818, 41.728912)
"103","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.659304, 41.782417)
"104","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.667702, 41.772484)
"105","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.665864, 41.76203)
"106","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.667203, 41.768563)
"107","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.659718, 41.755696)
"108","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.699065, 41.760367)
"109","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.694123, 41.762107)
"110","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.950551, 41.29727)
"111","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.953755, 41.305574)
